id,variety,is_default,unique_name,display_name,description,is_battle_only,is_mega,height,weight,primary_type,secondary_type,primary_ability,secondary_ability,hidden_ability,base_hp,base_attack,base_defense,base_special_attack,base_special_defense,base_speed,experience_yield,hp_yield,attack_yield,defense_yield,special_attack_yield,special_defense_yield,speed_yield,default_sprite,default_shiny_sprite,alternative_sprite,alternative_shiny_sprite,url,notes
c1936c00-db8e-4180-bf85-38fd35745884,bulbasaur,TRUE,bulbasaur,Bulbasaur,,FALSE,FALSE,7,69,Grass,Poison,overgrow,,chlorophyll,45,49,49,65,65,45,64,0,0,0,1,0,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/1.png,,,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pokémon),
7181bc68-3e6a-4b47-9ea0-84d527d5c635,ivysaur,TRUE,ivysaur,Ivysaur,,FALSE,FALSE,10,130,Grass,Poison,overgrow,,chlorophyll,60,62,63,80,80,60,142,0,0,0,1,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/2.png,,,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pokémon),
8602977e-ef1a-45a3-913d-2bdedf2ef920,venusaur,TRUE,venusaur,Venusaur,,FALSE,FALSE,20,1000,Grass,Poison,overgrow,,chlorophyll,80,82,83,100,100,80,236,0,0,0,2,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/female/3.png,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pokémon),
70eee037-025e-45d2-87c4-bc952d8e95e1,charmander,TRUE,charmander,Charmander,,FALSE,FALSE,6,85,Fire,,blaze,,solar-power,39,52,43,60,50,65,62,0,0,0,0,0,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/4.png,,,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pokémon),
7a6cdcd0-14b7-4da6-bb03-6a48d4f32152,charmeleon,TRUE,charmeleon,Charmeleon,,FALSE,FALSE,11,190,Fire,,blaze,,solar-power,58,64,58,80,65,80,142,0,0,0,1,0,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/5.png,,,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pokémon),
67fda4d3-e13a-4617-a3fa-93dd30ebab0a,charizard,TRUE,charizard,Charizard,,FALSE,FALSE,17,905,Fire,Flying,blaze,,solar-power,78,84,78,109,85,100,240,0,0,0,3,0,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/6.png,,,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pokémon),
e3ed323f-7678-41b8-a765-b07e638648b5,squirtle,TRUE,squirtle,Squirtle,,FALSE,FALSE,5,90,Water,,torrent,,rain-dish,44,48,65,50,64,43,63,0,0,1,0,0,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/7.png,,,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pokémon),
b5b796f6-1967-4e3e-8415-5d6626ab2469,wartortle,TRUE,wartortle,Wartortle,,FALSE,FALSE,10,225,Water,,torrent,,rain-dish,59,63,80,65,80,58,142,0,0,1,0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/8.png,,,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pokémon),
0028ea59-4ed8-4ca0-a7c5-c26a7886ef68,blastoise,TRUE,blastoise,Blastoise,,FALSE,FALSE,16,855,Water,,torrent,,rain-dish,79,83,100,85,105,78,239,0,0,0,0,3,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/9.png,,,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pokémon),
bf1c0302-f053-45bb-b8d5-6add83cba0a7,caterpie,TRUE,caterpie,Caterpie,,FALSE,FALSE,3,29,Bug,,shield-dust,,run-away,45,30,35,20,20,45,39,1,0,0,0,0,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/10.png,,,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pokémon),
770ac24d-34d0-4ff1-a810-f6a6d8ad87e0,metapod,TRUE,metapod,Metapod,,FALSE,FALSE,7,99,Bug,,shed-skin,,,50,20,55,25,25,30,72,0,0,2,0,0,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/11.png,,,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pokémon),
00027382-a4a6-4679-b0ff-47034f6e993a,butterfree,TRUE,butterfree,Butterfree,,FALSE,FALSE,11,320,Bug,Flying,compound-eyes,,tinted-lens,60,45,50,90,80,70,178,0,0,0,2,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/female/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/female/12.png,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pokémon),
3b4e4222-3052-45a8-9f33-c9cf84bd44be,weedle,TRUE,weedle,Weedle,,FALSE,FALSE,3,32,Bug,Poison,shield-dust,,run-away,40,35,30,20,20,50,39,0,0,0,0,0,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/13.png,,,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pokémon),
5d563444-fb88-4ee7-be18-a4f411776e64,kakuna,TRUE,kakuna,Kakuna,,FALSE,FALSE,6,100,Bug,Poison,shed-skin,,,45,25,50,25,25,35,72,0,0,2,0,0,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/14.png,,,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pokémon),
ecd8c7a3-4f4a-4f6e-ac05-157767001718,beedrill,TRUE,beedrill,Beedrill,,FALSE,FALSE,10,295,Bug,Poison,swarm,,sniper,65,90,40,45,80,75,178,0,2,0,0,1,0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/15.png,,,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pokémon),
2467a2ba-050c-4e11-9769-f96134c5de8c,pidgey,TRUE,pidgey,Pidgey,,FALSE,FALSE,3,18,Normal,Flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,50,0,0,0,0,0,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/16.png,,,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pokémon),
d96e9e17-123f-40c0-a7b5-549c7996cc47,pidgeotto,TRUE,pidgeotto,Pidgeotto,,FALSE,FALSE,11,300,Normal,Flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,122,0,0,0,0,0,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/17.png,,,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pokémon),
33c5dd54-c557-4d3b-a39c-9644fca28c66,pidgeot,TRUE,pidgeot,Pidgeot,,FALSE,FALSE,15,395,Normal,Flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,216,0,0,0,0,0,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/18.png,,,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pokémon),
