id,number,category,unique_name,display_name,base_friendship,catch_rate,growth_rate,egg_cycles,egg_group_primary,egg_group_secondary,url,notes
c29385f1-28b5-4dc6-91f8-69b573fd2d93,1,Standard,bulbasaur,Bulbasaur,70,45,MediumSlow,20,Monster,Grass,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pokémon),
0be805fb-fdb8-4e55-af20-b0540be49818,2,Standard,ivysaur,Ivysaur,70,45,MediumSlow,20,Monster,Grass,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pokémon),
d9ea5bc4-c1f2-4758-8a37-ebb3eeeb73f7,3,Standard,venusaur,Venusaur,70,45,MediumSlow,20,Monster,Grass,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pokémon),
1f3db507-2ef3-48cc-9f54-1e5985403880,4,Standard,charmander,Charmander,70,45,MediumSlow,20,Monster,Dragon,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pokémon),
88545315-256c-41ab-b5c6-ee33a3086684,5,Standard,charmeleon,Charmeleon,70,45,MediumSlow,20,Monster,Dragon,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pokémon),
07dc9bdd-6933-43a6-87d6-8b15d579c80c,6,Standard,charizard,Charizard,70,45,MediumSlow,20,Monster,Dragon,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pokémon),
afd95927-4b78-4ec7-bab5-e4395b02f4c0,7,Standard,squirtle,Squirtle,70,45,MediumSlow,20,Monster,Water1,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pokémon),
4f40ddf8-10db-49bc-bb92-4aa4eb554cec,8,Standard,wartortle,Wartortle,70,45,MediumSlow,20,Monster,Water1,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pokémon),
ab769610-0f43-4110-b6ee-99ee7bf04424,9,Standard,blastoise,Blastoise,70,45,MediumSlow,20,Monster,Water1,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pokémon),
70d05126-cd72-4ce8-952d-4eb76ad7bc3f,10,Standard,caterpie,Caterpie,70,255,MediumFast,15,Bug,,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pokémon),
845ebe3b-8a8e-4ab5-96c1-2928a17bdbb6,11,Standard,metapod,Metapod,70,120,MediumFast,15,Bug,,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pokémon),
636abccd-1381-4499-9a62-768a75d6628b,12,Standard,butterfree,Butterfree,70,45,MediumFast,15,Bug,,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pokémon),
9e734a59-8577-4a4a-8c3d-e432e90c7abf,13,Standard,weedle,Weedle,70,255,MediumFast,15,Bug,,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pokémon),
f075435c-b69d-43c4-a092-fefa403d16c1,14,Standard,kakuna,Kakuna,70,120,MediumFast,15,Bug,,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pokémon),
6030c26e-1ea1-4196-bd1d-49b23682f294,15,Standard,beedrill,Beedrill,70,45,MediumFast,15,Bug,,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pokémon),
297a2539-a4f9-4dcd-ad6e-41fea0aec7a6,16,Standard,pidgey,Pidgey,70,255,MediumSlow,15,Flying,,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pokémon),
23b912bd-1e57-499a-a276-e05073e3e0c4,17,Standard,pidgeotto,Pidgeotto,70,120,MediumSlow,15,Flying,,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pokémon),
33ea97f2-abc5-4249-936d-9c844fe05a3c,18,Standard,pidgeot,Pidgeot,70,45,MediumSlow,15,Flying,,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pokémon),
ee09fe8b-70cc-43fe-9424-5aad5e52a2ae,19,Standard,rattata,Rattata,70,255,MediumFast,15,Field,,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pokémon),
08760d4e-8322-4591-8781-d828941d9461,20,Standard,raticate,Raticate,70,127,MediumFast,15,Field,,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pokémon),
8abbc02e-106f-4167-a29b-8c3d2604f437,21,Standard,spearow,Spearow,70,255,MediumFast,15,Flying,,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pokémon),
893a9f09-6091-4664-a634-29075a11f585,22,Standard,fearow,Fearow,70,90,MediumFast,15,Flying,,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pokémon),
44fbfdfe-ae12-45d6-a2b1-a2917d640540,23,Standard,ekans,Ekans,70,255,MediumFast,20,Field,Dragon,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pokémon),
0af4e11e-b062-48ee-b820-129d74b55407,24,Standard,arbok,Arbok,70,90,MediumFast,20,Field,Dragon,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pokémon),
3fce1be4-9979-4712-8027-df68bd951685,25,Standard,pikachu,Pikachu,70,190,MediumFast,10,Field,Fairy,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pokémon),
d70b7471-a58c-4f00-8bf3-7bd2a1adb51e,26,Standard,raichu,Raichu,70,75,MediumFast,10,Field,Fairy,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pokémon),
c6ba5844-7d55-46d1-8881-9b41c40f6189,27,Standard,sandshrew,Sandshrew,70,255,MediumFast,20,Field,,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pokémon),
717fbf52-8bb7-4c36-af86-78b57e28963f,28,Standard,sandslash,Sandslash,70,90,MediumFast,20,Field,,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pokémon),
247d6bde-1d4d-4eb6-a929-7f34a340e497,29,Standard,nidoran-f,Nidoran♀,70,235,MediumSlow,20,Monster,Field,https://bulbapedia.bulbagarden.net/wiki/Nidoran♀_(Pokémon),
3c16ba82-47b3-4636-9a19-4d865e97cf26,30,Standard,nidorina,Nidorina,70,120,MediumSlow,20,NoEggsDiscovered,,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pokémon),
96d8f68a-f7b5-4a85-b222-a2544af96d2d,31,Standard,nidoqueen,Nidoqueen,70,45,MediumSlow,20,NoEggsDiscovered,,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pokémon),
53c9e7b6-0ea4-46f5-8f15-596a0d4e1596,32,Standard,nidoran-m,Nidoran♂,70,235,MediumSlow,20,Monster,Field,https://bulbapedia.bulbagarden.net/wiki/Nidoran♂_(Pokémon),
272cec88-a2d5-4828-beed-ee0944c24385,33,Standard,nidorino,Nidorino,70,120,MediumSlow,20,Monster,Field,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pokémon),
e5d48004-64ae-4f23-8a2c-73143fcd145e,34,Standard,nidoking,Nidoking,70,45,MediumSlow,20,Monster,Field,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pokémon),
a65c7809-9fba-4cc7-bbc6-38e7ab12889d,35,Standard,clefairy,Clefairy,140,150,Fast,10,Fairy,,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pokémon),
0a112e20-e857-4994-b5e2-3c4277ce3e83,36,Standard,clefable,Clefable,140,25,Fast,10,Fairy,,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pokémon),
2bf830fe-78be-4ee9-84ff-d58d060e7fba,37,Standard,vulpix,Vulpix,70,190,MediumFast,20,Field,,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pokémon),
1c4a8079-bfb6-41fb-9bf0-ec9fe7fc9de6,38,Standard,ninetales,Ninetales,70,75,MediumFast,20,Field,,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pokémon),
0cd99e0f-bbc1-4a48-a3c2-5d2303af8c55,39,Standard,jigglypuff,Jigglypuff,70,170,Fast,10,Fairy,,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pokémon),
211db434-93ac-42d1-b4ed-17da7e2e4c32,40,Standard,wigglytuff,Wigglytuff,70,50,Fast,10,Fairy,,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pokémon),
a3142278-5f54-40f1-8e96-f7ae6a75ecec,41,Standard,zubat,Zubat,70,255,MediumFast,15,Flying,,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pokémon),
