id,species,is_default,unique_name,display_name,genus,description,gender_ratio,can_change_form,url,notes
48a11e66-a30b-484e-aa25-5e4d44ffec68,bulbasaur,True,bulbasaur,Bulbasaur,Seed,,7,False,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pokémon),
bd0aa4f7-ae7d-4bb7-ace2-7b0181a6ec36,ivysaur,True,ivysaur,Ivysaur,Seed,,7,False,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pokémon),
11441062-f87d-4b0e-aa32-852cc5fd5206,venusaur,True,venusaur,Venusaur,Seed,,7,True,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pokémon),
fe40c9e7-0437-4a3a-900d-6e9cea1a3685,charmander,True,charmander,Charmander,Lizard,,7,False,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pokémon),
257fca6d-610d-49a8-a7cc-0ffceb25a31e,charmeleon,True,charmeleon,Charmeleon,Flame,,7,False,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pokémon),
f7e79105-1856-47c1-97b7-8ac89b284793,charizard,True,charizard,Charizard,Flame,,7,True,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pokémon),
c907df55-d952-4c1b-9310-1a9d5a27d1aa,squirtle,True,squirtle,Squirtle,Tiny Turtle,,7,False,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pokémon),
c8b0606d-7329-4adc-87b6-1be6a5f40aea,wartortle,True,wartortle,Wartortle,Turtle,,7,False,https://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pokémon),
0d919b77-590b-4f3d-a5e2-e8eb3cf61f4e,blastoise,True,blastoise,Blastoise,Shellfish,,7,True,https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pokémon),
bb5f65b2-e2e0-4071-b3c8-37cca93546b3,caterpie,True,caterpie,Caterpie,Worm,,4,False,https://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pokémon),
785b38dc-fdcb-4e4f-b7e8-2c50ab326c38,metapod,True,metapod,Metapod,Cocoon,,4,False,https://bulbapedia.bulbagarden.net/wiki/Metapod_(Pokémon),
a79ec5c3-2bef-4233-88c9-6adc843e94f4,butterfree,True,butterfree,Butterfree,Butterfly,,4,False,https://bulbapedia.bulbagarden.net/wiki/Butterfree_(Pokémon),
6f683463-0bf3-4d06-b137-e16861e8f70e,weedle,True,weedle,Weedle,Hairy Bug,,4,False,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pokémon),
af4b518f-1cab-4586-9bae-e48cbbef0e39,kakuna,True,kakuna,Kakuna,Cocoon,,4,False,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pokémon),
eb6c2ebe-276f-46f0-bb3f-27f165f87ab6,beedrill,True,beedrill,Beedrill,Poison Bee,,4,True,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pokémon),
